Chromosome,Total_classified,n_P,pct_P,n_LP,pct_LP,n_VUS,pct_VUS,n_LB,pct_LB,n_B,pct_B
1,375568,25563,6.81,12368,3.29,216788,57.72,102360,27.25,18489,4.92
2,369819,37119,10.04,18850,5.1,183936,49.74,113465,30.68,16449,4.45
3,228369,17178,7.52,7456,3.26,130501,57.14,62072,27.18,11162,4.89
4,148705,9247,6.22,4224,2.84,87674,58.96,39684,26.69,7876,5.3
5,203475,17177,8.44,6298,3.1,113550,55.81,55587,27.32,10863,5.34
6,186841,14357,7.68,7050,3.77,106002,56.73,49196,26.33,10236,5.48
7,203404,16322,8.02,6352,3.12,113240,55.67,56535,27.79,10955,5.39
8,141537,10715,7.57,4321,3.05,80960,57.2,38263,27.03,7278,5.14
9,185728,15341,8.26,5841,3.14,98817,53.21,56080,30.19,9649,5.2
10,155370,10793,6.95,4630,2.98,88501,56.96,42577,27.4,8869,5.71
11,246316,20432,8.3,9265,3.76,140186,56.91,65206,26.47,11227,4.56
12,190429,14153,7.43,6473,3.4,110185,57.86,48745,25.6,10873,5.71
13,83585,15904,19.03,3670,4.39,39021,46.68,20735,24.81,4255,5.09
14,133758,8845,6.61,3935,2.94,76423,57.14,38089,28.48,6466,4.83
15,147002,12097,8.23,6250,4.25,80781,54.95,40113,27.29,7761,5.28
16,217325,21021,9.67,7172,3.3,117908,54.25,62011,28.53,9213,4.24
17,252253,30494,12.09,9626,3.82,134333,53.25,65930,26.14,11870,4.71
18,70595,4960,7.03,2197,3.11,37902,53.69,21023,29.78,4513,6.39
19,239319,14039,5.87,6249,2.61,145939,60.98,62551,26.14,10541,4.4
20,89529,5525,6.17,2272,2.54,51933,58.01,24985,27.91,4814,5.38
21,46505,3961,8.52,1554,3.34,23545,50.63,14506,31.19,2939,6.32
22,91167,7031,7.71,2796,3.07,51567,56.56,24795,27.2,4978,5.46
X,151838,21931,14.44,9525,6.27,68528,45.13,41710,27.47,10144,6.68
Y,1106,156,14.1,53,4.79,355,32.1,318,28.75,224,20.25
MT,3087,92,2.98,109,3.53,1257,40.72,729,23.62,900,29.15
TOTAL,4162633,354453,8.52,148536,3.57,2299833,55.25,1147266,27.56,212545,5.11
