gene,EUR_priv_total,EUR_gap_rate,EUR_classified_n,EUR_PLP_pct,EUR_VUS_pct,nonEUR_priv_total,nonEUR_gap_rate,nonEUR_classified_n,nonEUR_PLP_pct,nonEUR_VUS_pct
HNF1A,1189,85.9,163,26.4,46.0,657,81.6,111,14.4,42.3
HNF4A,1442,93.3,92,23.9,51.1,846,94.8,39,12.8,51.3
HNF1B,1090,88.3,110,9.1,46.4,568,84.3,72,2.8,56.9
GCK,1193,84.6,165,67.9,21.8,715,87.1,79,27.8,44.3
KCNJ11,417,80.6,70,10.0,52.9,199,75.4,39,7.7,59.0
ABCC8,3989,84.5,559,18.4,28.4,2272,83.9,316,9.8,33.9
INS,209,93.8,11,36.4,45.5,122,89.3,10,10.0,50.0
PDX1,512,89.5,52,5.8,59.6,342,86.5,42,4.8,69.0
NEUROD1,439,82.7,76,1.3,71.1,238,72.7,64,0.0,67.2
PTF1A,716,94.7,38,7.9,42.1,351,90.6,32,0.0,62.5
CEL,1502,96.5,53,1.9,83.0,848,95.0,39,0.0,92.3
PPARG,811,93.5,53,18.9,67.9,505,91.7,41,2.4,36.6
APPL1,1841,98.0,35,0.0,71.4,961,95.2,46,0.0,67.4
BLK,1465,96.5,52,1.9,75.0,893,94.7,47,0.0,57.4
KLF11,900,95.3,40,0.0,92.5,518,91.3,44,0.0,70.5
PAX4,1040,97.7,24,0.0,70.8,651,96.6,21,0.0,76.2
WFS1,1846,77.4,382,16.8,56.3,1101,73.5,276,9.8,61.2
