Gene,gnomAD_total_vars,ClinVar_annotated,ClinVar_coverage_%,EUR_total_obs,EUR_VUS_n,EUR_VUS_%,EUR_PLP_%,EUR_BLB_%,nonEUR_total_obs,nonEUR_VUS_n,nonEUR_VUS_%,nonEUR_PLP_%,nonEUR_BLB_%,Delta_VUS_%_EUR_minus_nonEUR,Delta_PLP_%_EUR_minus_nonEUR
HNF1A,878,351,39.98,219,64,29.22,17.35,53.42,263,69,26.24,18.25,55.51,2.98,-0.9
HNF4A,1051,219,20.84,147,44,29.93,21.77,48.3,154,40,25.97,22.73,51.3,3.96,-0.96
HNF1B,716,226,31.56,133,34,25.56,31.58,42.86,161,44,27.33,24.84,47.83,-1.77,6.74
GCK,814,178,21.87,118,19,16.1,29.66,54.24,130,27,20.77,23.85,55.38,-4.67,5.81
KCNJ11,279,170,60.93,99,38,38.38,41.41,20.2,128,50,39.06,40.62,20.31,-0.68,0.79
ABCC8,2744,876,31.92,538,130,24.16,39.41,36.43,585,127,21.71,37.61,40.68,2.45,1.8
INS,156,51,32.69,37,7,18.92,27.03,54.05,41,8,19.51,26.83,53.66,-0.59,0.2
PDX1,357,123,34.45,70,34,48.57,18.57,32.86,91,41,45.05,18.68,36.26,3.52,-0.11
NEUROD1,261,118,45.21,64,38,59.38,9.38,31.25,82,47,57.32,8.54,34.15,2.06,0.84
PTF1A,442,86,19.46,40,18,45.0,17.5,37.5,64,31,48.44,12.5,39.06,-3.44,5.0
CEL,1424,266,18.68,200,71,35.5,7.5,57.0,209,75,35.89,7.66,56.46,-0.39,-0.16
PPARG,540,111,20.56,53,24,45.28,13.21,41.51,88,26,29.55,9.09,61.36,15.73,4.12
APPL1,1003,122,12.16,79,35,44.3,6.33,49.37,98,42,42.86,5.1,52.04,1.44,1.23
BLK,1091,221,20.26,150,61,40.67,10.67,48.67,174,62,35.63,10.92,53.45,5.04,-0.25
KLF11,651,173,26.57,114,65,57.02,5.26,37.72,125,65,52.0,8.0,40.0,5.02,-2.74
PAX4,678,116,17.11,84,38,45.24,7.14,47.62,99,44,44.44,9.09,46.46,0.8,-1.95
WFS1,1606,938,58.41,614,219,35.67,30.78,33.55,695,239,34.39,27.63,37.99,1.28,3.15
